Census-Mortality Tables Austrian Males,,,,,,,,,,,,,,
Source: Statistik Austria. Alexander Hanika,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
x,1868/71,1879/82,1889/92,1899/1902,1909/12,1930/33,1949/51,1959/61,1970/72,1980/82,1990/92,2000/02,2010/12,2020/22
70,0.083492,0.078746,0.076776,0.0729,0.072058,0.06033,0.05382,0.05315,0.05662,0.04568,0.0365059,0.0282537,0.0219358972855626,0.0220936098947935
71,0.091607,0.0864,0.084276,0.079756,0.078234,0.06646,0.05882,0.0578,0.06192,0.0503,0.0395594,0.0310362,0.0238056681756054,0.0243537041848234
72,0.100203,0.094551,0.092476,0.087348,0.084947,0.07258,0.0642,0.06291,0.06748,0.055472,0.0429954,0.0340867,0.0259660089592147,0.0269210701550426
73,0.10917,0.103053,0.101095,0.095522,0.092133,0.07929,0.07007,0.06838,0.07329,0.061496,0.0470208,0.0374562,0.0284712437219306,0.0297308096701913
74,0.118372,0.111852,0.110017,0.104191,0.099791,0.08576,0.07652,0.07435,0.07944,0.068047,0.0517327,0.0412038,0.0313776790588729,0.0327174068024238
75,0.127538,0.120988,0.11928,0.113349,0.107985,0.09556,0.08368,0.08095,0.08603,0.07504,0.0571156,0.0453985,0.0347440278715149,0.0358153456238934
76,0.136948,0.130587,0.129189,0.12297,0.116637,0.10317,0.09141,0.08831,0.09314,0.082511,0.0631044,0.0501132,0.0386318834325519,0.038977689363643
77,0.146958,0.14104,0.140219,0.133012,0.125817,0.11447,0.09966,0.09635,0.10063,0.090463,0.0697074,0.0554263,0.0431056819332838,0.0423192087273373
78,0.157964,0.152882,0.152797,0.143529,0.135765,0.12378,0.1086,0.10499,0.10844,0.09874,0.0769878,0.0614277,0.0482320101503688,0.046037936568179
79,0.170718,0.166417,0.166923,0.154566,0.146625,0.13511,0.11957,0.11433,0.11678,0.107795,0.0850452,0.0682233,0.0540783137118937,0.0503325938562931
80,0.185842,0.181762,0.182146,0.166173,0.15862,0.14773,0.13101,0.1245,0.12588,0.117993,0.0939633,0.0759351,0.0607107581412714,0.0554019015618034
81,0.20322,0.19861,0.197662,0.178472,0.171913,0.15816,0.14295,0.1356,0.13595,0.129084,0.1038265,0.0846979,0.0681933965185511,0.0614470972654435
82,0.222128,0.216114,0.212326,0.191656,0.186183,0.17323,0.15541,0.14784,0.14821,0.140612,0.1147278,0.0946637,0.0765870932792323,0.0686880178732279
83,0.241583,0.233184,0.225032,0.205404,0.20091,0.18787,0.1684,0.16113,0.16069,0.152392,0.1267711,0.1053137,0.0859486824013486,0.0773528365638126
84,0.259422,0.247671,0.233354,0.218803,0.215719,0.20434,0.18197,0.17518,0.17338,0.164379,0.1393243,0.1161986,0.0963301477270799,0.0876697658378948
85,0.274773,0.260158,0.237076,0.231323,0.230567,0.22252,0.19612,0.1897,0.18629,0.176794,0.1515216,0.1276845,0.107776854413708,0.0998670181961714
86,0.28679,0.272825,0.239416,0.244877,0.245717,0.23514,0.21088,0.20438,0.19942,0.189774,0.1638862,0.139904,0.120325690200178,0.114114847284691
87,0.298775,0.289031,0.245755,0.260225,0.261278,0.25459,0.22629,0.21895,0.21276,0.203326,0.1767471,0.1531484,0.134003344736063,0.130217786730578
88,0.312881,0.309983,0.267829,0.28007,0.27807,0.27166,0.24236,0.23416,0.22632,0.217492,0.1903175,0.1676838,0.148824497505413,0.147838109662645
89,0.330972,0.337542,0.312164,0.306432,0.295664,0.29667,0.25914,0.25002,0.2401,0.23235,0.2050741,0.1839279,0.164790495304271,0.16663777068964
90,0.332004,0.327006,0.295563,0.3068,0.312958,0.31273,0.27665,0.26655,0.25409,0.247977,0.2213,0.2020555,0.181888112760169,0.186278724420311
91,,,,,,0.33292,0.29491,0.2838,0.2683,0.264435,0.2390753,0.2221826,0.200088269846977,0.206530216711736
92,,,,,,0.33672,0.31397,0.30179,0.28273,0.281777,0.2583662,0.2440479,0.219345334689177,0.227741808087889
93,,,,,,0.35505,0.33386,0.32055,0.29737,0.29994,0.2788847,0.2672621,0.239596707006356,0.250458361523406
94,,,,,,0.3779,0.35461,0.34012,0.31223,0.318781,0.3002757,0.2914275,0.260762862843297,0.275224887168848
95,,,,,,0.39,0.37626,0.36052,0.32731,0.338075,0.3222411,0.3162331,0.282747906996984,0.302586395174776
96,,,,,,0.4125,0.39886,0.38181,0.3426,0.357614,0.3444248,0.3414812,0.305440646120197,0.330798926647359
97,,,,,,0.435,0.42243,0.404,0.35811,0.377275,0.3665705,0.3670574,0.328716241821161,0.36106144084243
98,,,,,,0.46,0.44703,0.42715,0.37383,0.39699,0.3886051,0.3928725,0.352438339954358,0.393101448453564
99,,,,,,0.485,0.4727,0.45129,0.38978,0.416711,0.4105795,0.4188563,0.376461610299673,0.426918949480761
100,,,,,,0.51,0.49948,0.47647,0.40593,1,1,0.4449421,1,0.462513943924016
101,,,,,,,,,,,,0.4710857,,0.499886431783331
102,,,,,,,,,,,,0.4972566,,0.539036413058705
103,,,,,,,,,,,,0.5234342,,0.579963887750141
104,,,,,,,,,,,,0.5496121,,0.62266885585764
105,,,,,,,,,,,,0.57579,,0.667151317381194
106,,,,,,,,,,,,0.6019685,,0.71341127232081
107,,,,,,,,,,,,0.628148,,0.761448720676487
108,,,,,,,,,,,,0.6543293,,
109,,,,,,,,,,,,0.6805127,,
110,,,,,,,,,,,,0.706699,,
111,,,,,,,,,,,,0.7328886,,
112,,,,,,,,,,,,0.7590821,,
