tariff,sex,premium,probability,age,smooth,raw,Exposure
(all),(all),lfd,qx,2,9.591058055148081e-5,3.395922942441815e-4,35330.49085503537
(all),(all),lfd,qx,3,8.653439734691113e-5,1.1911054330347903e-4,41975.31205027849
(all),(all),lfd,qx,4,7.875243727736711e-5,1.0291994201577537e-4,48578.94983441217
(all),(all),lfd,qx,5,7.275802411201363e-5,5.4500027098852476e-5,55044.34418937227
(all),(all),lfd,qx,6,6.87414374184449e-5,3.26054680893014e-5,61338.40462140599
(all),(all),lfd,qx,7,6.683110725341138e-5,2.9705838632767967e-5,67325.83176275779
(all),(all),lfd,qx,8,6.706386323034315e-5,4.1826942071749816e-5,71722.60535902454
(all),(all),lfd,qx,9,6.941230013583646e-5,5.387276396538549e-5,74247.02131567063
(all),(all),lfd,qx,10,7.387431260730986e-5,9.22403154304503e-5,75885.2257413819
(all),(all),lfd,qx,11,8.049440460592054e-5,1.0667201556518292e-4,74992.23924431733
(all),(all),lfd,qx,12,8.950869762582851e-5,9.40755863676336e-5,74404.75266445884
(all),(all),lfd,qx,13,1.0140008529099245e-4,6.745630091847751e-5,74119.560236339
(all),(all),lfd,qx,14,1.168536724169397e-4,8.048091900767672e-5,74548.83258317025
(all),(all),lfd,qx,15,1.3649838455972524e-4,6.568644687427217e-5,76116.70324401626
(all),(all),lfd,qx,16,1.6073446921142484e-4,1.4606717772628066e-4,82147.98001655878
(all),(all),lfd,qx,17,1.8902975449399388e-4,2.4068537713313397e-4,91394.63611320186
(all),(all),lfd,qx,18,2.198356754641702e-4,3.3646022956544094e-4,106978.30100858046
(all),(all),lfd,qx,19,2.5071674193823134e-4,3.327791089961349e-4,135202.33468312508
(all),(all),lfd,qx,20,2.789480487309627e-4,3.9971742599677557e-4,170086.1788499172
(all),(all),lfd,qx,21,3.0199902554087937e-4,3.235772027555016e-4,213206.7277886497
(all),(all),lfd,qx,22,3.186800646880402e-4,3.404608044223434e-4,258429.21881679964
(all),(all),lfd,qx,23,3.286534621888568e-4,0.00034971944989459387,300188.16442872194
(all),(all),lfd,qx,24,3.3253350838651397e-4,3.5469027651466615e-4,338263.3427743489
(all),(all),lfd,qx,25,3.3180775145933355e-4,3.128906347228518e-4,370678.56775553216
(all),(all),lfd,qx,26,3.2869027675762417e-4,3.0323809419422913e-4,398965.8832831552
(all),(all),lfd,qx,27,3.2492133115439594e-4,3.3398116060723624e-4,428096.36354056903
(all),(all),lfd,qx,28,3.214672581762982e-4,3.2814935857400005e-4,457033.92336293845
(all),(all),lfd,qx,29,3.195156380036724e-4,3.1141550979157153e-4,484807.22180490743
(all),(all),lfd,qx,30,3.204471524245724e-4,2.9468947081304355e-4,515721.1867153394
(all),(all),lfd,qx,31,3.254376893521035e-4,2.946458280064492e-4,546338.2329218726
(all),(all),lfd,qx,32,3.3486270727562365e-4,3.674013897718626e-4,571476.9423829595
(all),(all),lfd,qx,33,3.4798676410925867e-4,3.464570392374762e-4,588715.5932259521
(all),(all),lfd,qx,34,3.653900677839392e-4,3.343101352129145e-4,601137.628398314
(all),(all),lfd,qx,35,3.877680243262406e-4,3.8561903857946967e-4,606699.5121255456
(all),(all),lfd,qx,36,4.145021466503504e-4,4.275548153249217e-4,612655.9237091675
(all),(all),lfd,qx,37,4.4467031844510046e-4,4.680147896443328e-4,625902.091803402
(all),(all),lfd,qx,38,4.7763215713339307e-4,5.364536755492875e-4,648530.6614857744
(all),(all),lfd,qx,39,5.136204605044528e-4,4.502405685553478e-4,672822.0638265844
(all),(all),lfd,qx,40,5.557707772123522e-4,5.730062067797468e-4,701362.0812434141
(all),(all),lfd,qx,41,6.045104513043342e-4,5.949410186514994e-4,730947.416122234
(all),(all),lfd,qx,42,6.612413478375746e-4,6.835650183443291e-4,758995.2688544332
(all),(all),lfd,qx,43,7.271221302210699e-4,6.926917147224367e-4,792285.8675222038
(all),(all),lfd,qx,44,8.049072083479508e-4,8.082672495281979e-4,828598.7473355412
(all),(all),lfd,qx,45,8.958206187091031e-4,8.88359397590404e-4,854004.4374680114
(all),(all),lfd,qx,46,0.0010013419893123105,0.0010568935530774518,869069.8838476592
(all),(all),lfd,qx,47,0.001122444250154535,0.0010403175638195618,880042.3701339756
(all),(all),lfd,qx,48,0.00126389840134446,0.0012660026062518343,880167.3851573084
(all),(all),lfd,qx,49,0.0014254777879143031,0.0014071543590062352,873489.5302724673
(all),(all),lfd,qx,50,0.0016057927466595235,0.0017690607033835994,857323.4824702694
(all),(all),lfd,qx,51,0.0018002786542429983,0.0017843018205113488,837115.2330949872
(all),(all),lfd,qx,52,0.002013004576052334,0.0019426166686397045,806888.9979828391
(all),(all),lfd,qx,53,0.0022486096066404583,0.002301561260865644,769026.1592503387
(all),(all),lfd,qx,54,0.002508387409905163,0.0025211788629165522,724143.6414421195
(all),(all),lfd,qx,55,0.002796861471446038,0.0028082447268255933,673495.6445130212
(all),(all),lfd,qx,56,0.00312060108676355,0.0031152696441470824,615359.0411485775
(all),(all),lfd,qx,57,0.0034887819451486645,0.00344273664300937,560795.4002483818
(all),(all),lfd,qx,58,0.003913121968912119,0.0038205559077668294,506548.2662125546
(all),(all),lfd,qx,59,0.004406653339848809,0.004276061393440255,455752.20903959055
(all),(all),lfd,qx,60,0.004981820821446517,0.004900784372651465,372698.16278789705
(all),(all),lfd,qx,61,0.005648160776252583,0.005589878904783849,288642.708625621
(all),(all),lfd,qx,62,0.006412511828163831,0.006265290447852872,249801.9461387927
(all),(all),lfd,qx,63,0.007278200701168848,0.0073588218497693805,225291.15313111545
(all),(all),lfd,qx,64,0.008241246210255732,0.008889678346811779,211325.1475688695
(all),(all),lfd,qx,65,0.009291965596939223,0.009589853610421577,190223.01833508958
(all),(all),lfd,qx,66,0.0104236939276655,0.010723962671528952,167783.14424205932
(all),(all),lfd,qx,67,0.011629708852201895,0.012335482645198006,152593.810236339
(all),(all),lfd,qx,68,0.012904050371090556,0.013468965567816757,144170.98895830198
(all),(all),lfd,qx,69,0.014247548793205214,0.014401230205123548,134154.34483667018
(all),(all),lfd,qx,70,0.015669081862271804,0.016006900232898913,121591.13898088213
(all),(all),lfd,qx,71,0.017183509286468647,0.01718116302634706,116214.40095589342
(all),(all),lfd,qx,72,0.018814756577499273,0.018983633086188733,117972.09694415174
(all),(all),lfd,qx,73,0.020594763648719306,0.019941517201524917,113690.79593557128
(all),(all),lfd,qx,74,0.02256686250317661,0.021579277605813876,102774.97098449495
(all),(all),lfd,qx,75,0.024780858959461888,0.023549254533653627,90139.07839831401
(all),(all),lfd,qx,76,0.027291590847057914,0.024835153648959774,74441.02510161072
(all),(all),lfd,qx,77,0.03015832323201674,0.028659912761891032,59532.45076772542
(all),(all),lfd,qx,78,0.03343790322583491,0.031116104212742343,46855.432635857294
(all),(all),lfd,qx,79,0.03718955094029523,0.03617939987151767,41687.09890862562
(all),(all),lfd,qx,80,0.04147134939678907,0.04009427263027297,37272.857669727535
(all),(all),lfd,qx,81,0.04634272201096376,0.046372622885667326,32565.63611320187
(all),(all),lfd,qx,82,0.051861378525903105,0.05464219735492952,28890.819426463946
(all),(all),lfd,qx,83,0.05808437953568597,0.06473754397023558,25962.916415776006
(all),(all),lfd,qx,84,0.06507233456231071,0.0764606535840843,23157.243436700286
(all),(all),lfd,qx,85,0.07289683421366801,0.08541139625087948,9493.20944603342
(all),(all),lfd,qx,86,0.08165106761899321,0.07534180889628997,1111.237340057203
(all),(all),lfd,qx,87,0.09144644553384465,0.10302940853337625,736.4773295197953
(all),(all),lfd,qx,88,0.10240748768338936,0.08404757566602013,547.1051106427818
(all),(all),lfd,qx,89,0.11467462056860103,0.09858224922868998,376.1087460484721
(all),(all),lfd,qx,90,0.12840477652273424,0.13229461123967456,218.82549300015054
(all),(all),lfd,qx,91,0.14377360310570314,0.10041893771897674,132.41593406593407
(all),(all),lfd,qx,92,0.16097827985303403,0.09880189257506554,115.45516332982086
(all),(all),lfd,qx,93,0.18023958035422,0.12695630710462982,95.89743338852928
