"Austria: MCMC-Zerlegung der Bevölkerungssterblichkeit, Daten: Statistik Austria seit 1947, Berechnungen: Dr. Jonas Hirz, Dokumentation: vgl. Dokumentation der Pensionstafel AVÖ 2018-P"
,,,,,,,,,,,,,
,MCMC-Parameter,,Parameter alpha,Parameter beta,"Parameter beta, Lee-Carter",Parameter zeta,Parameter eta,Parameter beta; Vergleich MCMC vs. Lee-Carter,,,,,
,Geschlecht,Mann,Mann,Mann,Mann,Frau,Frau,Frau,Frau,Unisex,Unisex,Unisex,Unisex
,Trend seit ,1970,1980,1990,2000,1970,1980,1990,2000,1970,1980,1990,2000
Parameter,Alter,"Mann, 1970","Mann, 1980","Mann, 1990","Mann, 2000","Frau, 1970","Frau, 1980","Frau, 1990","Frau, 2000","Unisex, 1970","Unisex, 1980","Unisex, 1990","Unisex, 2000"
alpha,91,-0.7846770047,-0.7897132543,-0.7886887741,-0.7855053097,-0.9669600376,-0.9704411061,-0.9705244619,-0.9635976466,-0.9209602732,-0.9237150312,-0.9236174152,-0.9185686999
alpha,92,-0.6873799065,-0.6909952147,-0.6919710071,-0.6840988622,-0.8533142329,-0.8547212763,-0.8539298845,-0.8511546677,-0.8132258212,-0.8143794693,-0.8140644936,-0.8108328776
alpha,93,-0.5798133413,-0.5809133094,-0.5716689127,-0.5650318718,-0.7489531325,-0.7509732263,-0.7497883338,-0.7409110924,-0.7081497028,-0.7097248779,-0.7070604955,-0.6994333444
alpha,94,-0.4973702182,-0.5013792513,-0.5077514633,-0.4950298171,-0.6568927813,-0.6586171426,-0.6612782058,-0.6525233441,-0.6216615581,-0.6235024198,-0.626666658,-0.6176147405
alpha,95,-0.4364282574,-0.4354018033,-0.4339951917,-0.4219835458,-0.5354368417,-0.5358447074,-0.5361057057,-0.5299289155,-0.5146293774,-0.5143775966,-0.5141639098,-0.507907342
alpha,96,-0.3187393828,-0.3172576612,-0.3180213189,-0.305657533,-0.4508897419,-0.4550173029,-0.453010075,-0.4398942091,-0.4228760133,-0.4255245442,-0.4238878177,-0.4119646114
alpha,97,-0.2287715366,-0.2344343288,-0.2391949068,-0.2364147261,-0.376608426,-0.3797241723,-0.3797449838,-0.3630450262,-0.3460510362,-0.3498114091,-0.3510034019,-0.3390058518
alpha,98,-0.1670849314,-0.1607536182,-0.1583631731,-0.1417284523,-0.2800032867,-0.2773830068,-0.274105256,-0.2629157269,-0.2543381068,-0.2525725978,-0.2497643972,-0.2362777316
beta,0,-0.05606361637,-0.04863989756,-0.03639989484,-0.03301908398,-0.05280349064,-0.044006161,-0.03483643326,-0.02573016872,-0.05462641097,-0.04662130334,-0.03558705175,-0.02864197506
beta,1,-0.04554364765,-0.04217576524,-0.03547829219,-0.02768207964,-0.04418541764,-0.0376622258,-0.04055278671,-0.0499686895,-0.04501562793,-0.04024469745,-0.03729464486,-0.0385583811
beta,2,-0.04435640778,-0.04133510256,-0.03525578068,-0.0253968293,-0.04267394792,-0.03681380931,-0.03963358044,-0.04772897169,-0.04384260679,-0.03951642766,-0.03684995869,-0.03571567461
beta,3,-0.04346605402,-0.04060985013,-0.0352048428,-0.02349053178,-0.04129121161,-0.03599260102,-0.03876927158,-0.0456746891,-0.04291466847,-0.03884646565,-0.03648982404,-0.03305446721
beta,4,-0.04272036932,-0.04000782299,-0.03513680071,-0.02157975191,-0.03999889851,-0.03518884395,-0.03791110187,-0.04364630851,-0.04207753348,-0.03819813803,-0.03609533321,-0.03038197358
beta,5,-0.04206413067,-0.03945348333,-0.03505896991,-0.01975427231,-0.03876072409,-0.03445491735,-0.03715093901,-0.04198936014,-0.0413226548,-0.03760357029,-0.03575342461,-0.02773371259
